Timestamp,UserID,Event Name,UUID,Param/redBulletsFired,Param/totalTimesPlayerHasSwitched,Param/timesPlayerHasSwitched
6/11/2023 19:18:20,NULL,TimesSwitched,1a75003fe7b78caf06659dbec4185a6f,,,2
6/11/2023 19:18:21,NULL,TimesSwitched,23462e1563edc5ccb48a5b78a4a28009,,,3
6/11/2023 19:18:52,NULL,TimesSwitched,6da5e1be828660534ebe2c993eb3403f,,,1
6/11/2023 19:18:54,NULL,TimesSwitched,2f0502de99df5da115e897c6e3150c20,,,2
6/11/2023 19:18:56,NULL,TimesSwitched,e149f2c561921d643ccb144ee3f58adf,,,3
6/11/2023 19:18:59,NULL,TimesSwitched,0318ee334c8dc4bd1daf6cada8fbf9b1,,,4
6/11/2023 19:19:26,NULL,TimesSwitched,ac29095ef75242398a02c857d8f6277d,,,1
6/11/2023 19:19:28,NULL,TimesSwitched,1ddd65dc73293dbc72648a944fbbd0ed,,,2
6/11/2023 19:19:31,NULL,TimesSwitched,863c06c91357047ebdf7ae8fc812ba26,,,3
6/11/2023 19:20:52,NULL,TimesSwitched,09c7de73944d4b0b3acc31af45d92cf7,,,1
6/11/2023 19:20:54,NULL,TimesSwitched,53d851eba478a7a39969c9cad3f9ac4f,,,2
6/11/2023 19:20:55,NULL,TimesSwitched,a9b4aaa5c55ed77b3802aae485ccddd3,,,3
6/11/2023 19:21:09,NULL,TimesSwitched,c93b3649f3350782ec807cf400e25235,,,1
6/11/2023 19:21:14,NULL,TimesSwitched,8ff498ae87120aa627710175a6eab0d6,,,2
6/11/2023 19:21:14,NULL,TimesSwitched,8ff498ae87120aa627710175a6eab0d6,,,3
6/11/2023 19:21:29,NULL,TimesSwitched,da13583b014ed494dd8cc1c4afe51a29,,,1
6/11/2023 19:21:47,NULL,TimesSwitched,e48e5b2b0c8aa330b8a02baf12a69dfe,,,1
6/11/2023 19:21:49,NULL,TimesSwitched,e85698ccf6386c1afc8d01fe7778190b,,,2
6/11/2023 19:21:49,NULL,TimesSwitched,e85698ccf6386c1afc8d01fe7778190b,,,3
6/11/2023 19:21:49,NULL,TimesSwitched,e85698ccf6386c1afc8d01fe7778190b,,,4
